task_id,mobility_status,signal_strength,critical_task,bandwidth_mbps,number_of_instructions_mips,task_size_MB,is_offloaded,offloading_target,decision_reason
1,medium,-70.01839525,1,41.15943401,621,39.19399886,0,local,Critical task - local execution required
2,low,-77.38623745,1,39.32075391,1623,64.9469168,0,local,Critical task - local execution required
3,low,-50.71001872,0,61.01273945,2533,114.3859003,1,peer_vehicle,Low mobility & excellent peer connectivity
4,low,-66.30909907,0,41.37303802,4943,29.99044377,1,peer_vehicle,Low mobility & excellent peer connectivity
5,high,-74.00556113,0,32.96995785,1999,259.4432001,1,cloud,High mobility - cloud optimal
6,high,-88.14198349,0,8.085807795,2988,50.0547333,0,local,Network conditions unsuitable
7,high,-51.37471868,1,53.54522807,1863,117.7035079,0,local,Critical task - local execution required
8,low,-49.25314165,0,58.56268002,875,14.2849007,1,peer_vehicle,Low mobility & excellent peer connectivity
9,medium,-74.64880074,0,32.09234788,3943,168.3373969,1,RSU,Medium mobility & RSU connectivity
10,low,-45.11902295,1,50.17981147,1495,240.5725917,0,local,Critical task - local execution required
11,low,-38.51565942,0,65.70852595,437,103.4398449,1,peer_vehicle,Low mobility & excellent peer connectivity
12,medium,-46.38978771,0,51.66590104,592,35.07322961,1,RSU,Medium mobility & RSU connectivity
13,low,-76.64522103,1,22.61035876,1995,11.95543242,0,local,Critical task - local execution required
14,low,-71.05209182,0,39.63090013,4614,789.9989589,1,peer_vehicle,Low mobility & excellent peer connectivity
15,medium,-70.66137086,0,37.85646242,3204,51.76623414,1,RSU,Medium mobility & RSU connectivity
16,medium,-71.99266712,0,41.41316047,2873,599.0776524,1,RSU,Medium mobility & RSU connectivity
17,low,-74.61825893,0,33.34925412,4593,505.5112165,1,peer_vehicle,Low mobility & excellent peer connectivity
18,medium,-67.89835927,0,50.82626141,1584,88.06796752,1,RSU,Medium mobility & RSU connectivity
19,high,-70.98519107,0,28.5613881,1778,345.451343,1,cloud,High mobility - cloud optimal
20,low,-76.53590406,0,31.54845969,3257,662.181195,1,peer_vehicle,Low mobility - peer vehicle available
21,high,-78.17465257,0,14.33102295,1463,350.9558678,1,cloud,High mobility - cloud optimal
22,high,-57.70239379,1,48.92634732,1754,409.2641192,0,local,Critical task - local execution required
23,medium,-74.11471002,0,24.09990833,4844,520.7621235,1,RSU,Medium mobility & RSU connectivity
24,low,-67.87644498,0,34.49512027,3545,180.8864325,1,peer_vehicle,Low mobility & excellent peer connectivity
